trip_id,ref_no,latitude,longitude,datetime
137,81,19.205762,72.978133,2024-08-14 16:44:27
137,81,19.206135,72.978888,2024-08-14 16:44:49
137,81,19.205993,72.980844,2024-08-14 16:45:52
137,81,19.205975,72.9814,2024-08-14 16:46:26
137,81,19.205975,72.9814,2024-08-14 16:46:56
137,81,19.205975,72.9814,2024-08-14 16:47:16
137,81,19.207668,72.982573,2024-08-14 16:48:34
137,81,19.207668,72.982573,2024-08-14 16:48:54
137,81,19.207668,72.982573,2024-08-14 16:49:04
137,81,19.20856,72.982795,2024-08-14 16:50:04
138,71,19.188963,72.975922,2024-08-14 14:21:05
138,71,19.189777,72.976112,2024-08-14 14:21:24
138,71,19.191202,72.976341,2024-08-14 14:21:55
138,71,19.191689,72.976425,2024-08-14 14:22:05
138,71,19.192207,72.976547,2024-08-14 14:22:15
138,71,19.192743,72.976662,2024-08-14 14:22:25
138,71,19.193266,72.976715,2024-08-14 14:22:35
138,71,19.193718,72.976738,2024-08-14 14:22:45
138,71,19.193913,72.976753,2024-08-14 14:22:55
138,71,19.193913,72.976753,2024-08-14 14:23:06
138,71,19.193913,72.976753,2024-08-14 14:23:15
138,71,19.193995,72.976768,2024-08-14 14:23:25
138,71,19.194439,72.976875,2024-08-14 14:23:45
138,71,19.194607,72.976875,2024-08-14 14:23:55
138,71,19.194693,72.976898,2024-08-14 14:24:05
138,71,19.194902,72.976974,2024-08-14 14:24:15
138,71,19.195318,72.977058,2024-08-14 14:24:26
138,71,19.196293,72.977135,2024-08-14 14:24:45
138,71,19.196737,72.977234,2024-08-14 14:24:56
138,71,19.197018,72.977264,2024-08-14 14:25:06
138,71,19.197063,72.977325,2024-08-14 14:25:15
138,71,19.197113,72.977371,2024-08-14 14:25:25
138,71,19.197212,72.977386,2024-08-14 14:25:36
138,71,19.197372,72.977417,2024-08-14 14:25:46
138,71,19.197573,72.977386,2024-08-14 14:25:55
138,71,19.197792,72.977432,2024-08-14 14:26:05
138,71,19.198458,72.977478,2024-08-14 14:26:16
138,71,19.198908,72.977592,2024-08-14 14:26:25
138,71,19.199087,72.977615,2024-08-14 14:26:35
138,71,19.199062,72.977974,2024-08-14 14:26:45
138,71,19.19902,72.978363,2024-08-14 14:26:56
138,71,19.198967,72.978836,2024-08-14 14:27:05
138,71,19.198952,72.978928,2024-08-14 14:27:15
138,71,19.198956,72.979263,2024-08-14 14:27:26
138,71,19.199028,72.979614,2024-08-14 14:27:36
138,71,19.199474,72.979568,2024-08-14 14:27:45
138,71,19.200342,72.979424,2024-08-14 14:27:56
138,71,19.201036,72.97934,2024-08-14 14:28:06
138,71,19.201351,72.979378,2024-08-14 14:28:15
138,71,19.201839,72.979179,2024-08-14 14:28:26
138,71,19.202393,72.979027,2024-08-14 14:28:36
138,71,19.202772,72.978951,2024-08-14 14:28:45
138,71,19.203047,72.978859,2024-08-14 14:28:55
138,71,19.203167,72.978828,2024-08-14 14:29:06
138,71,19.203911,72.978508,2024-08-14 14:29:25
138,71,19.204618,72.978104,2024-08-14 14:29:36
138,71,19.20503,72.978119,2024-08-14 14:29:46
138,71,19.205263,72.978134,2024-08-14 14:29:55
138,71,19.205341,72.978104,2024-08-14 14:30:06
138,71,19.205591,72.978218,2024-08-14 14:30:26
138,71,19.206121,72.978447,2024-08-14 14:30:35
138,71,19.206177,72.978851,2024-08-14 14:30:46
138,71,19.206135,72.98011,2024-08-14 14:31:16
138,71,19.206091,72.980324,2024-08-14 14:31:26
138,71,19.206087,72.980598,2024-08-14 14:31:36
138,71,19.206093,72.981056,2024-08-14 14:31:45
138,71,19.206024,72.981651,2024-08-14 14:32:06
138,71,19.206018,72.982018,2024-08-14 14:32:15
138,71,19.206024,72.982079,2024-08-14 14:32:25
138,71,19.206032,72.982285,2024-08-14 14:32:36
138,71,19.206125,72.982552,2024-08-14 14:32:46
138,71,19.206511,72.982605,2024-08-14 14:32:55
138,71,19.207739,72.982674,2024-08-14 14:33:35
138,71,19.207825,72.982674,2024-08-14 14:33:46
138,71,19.207998,72.982635,2024-08-14 14:33:56
138,71,19.208282,72.982719,2024-08-14 14:34:26
139,194,19.201331,72.945542,2024-08-14 12:59:13
139,194,19.201266,72.948,2024-08-14 13:00:32
139,194,19.201171,72.948417,2024-08-14 13:00:53
139,194,19.202384,72.949302,2024-08-14 13:01:52
139,194,19.203533,72.949622,2024-08-14 13:02:42
139,194,19.204822,72.951057,2024-08-14 13:04:12
139,194,19.204591,72.952124,2024-08-14 13:04:32
139,194,19.204457,72.952706,2024-08-14 13:04:42
139,194,19.204322,72.953302,2024-08-14 13:05:02
139,194,19.2042,72.953951,2024-08-14 13:05:22
139,194,19.20194,72.957955,2024-08-14 13:07:19
139,194,19.20186,72.958502,2024-08-14 13:07:49
139,194,19.201711,72.958915,2024-08-14 13:07:59
139,194,19.200328,72.961982,2024-08-14 13:09:39
139,194,19.199893,72.962991,2024-08-14 13:11:00
139,194,19.199682,72.963608,2024-08-14 13:12:29
139,194,19.199682,72.963608,2024-08-14 13:12:50
139,194,19.199257,72.964448,2024-08-14 13:13:09
139,194,19.199086,72.964768,2024-08-14 13:13:19
139,194,19.199086,72.964768,2024-08-14 13:13:29
139,194,19.199086,72.964768,2024-08-14 13:13:39
139,194,19.198831,72.965337,2024-08-14 13:13:49
139,194,19.198626,72.965773,2024-08-14 13:13:59
139,194,19.198431,72.966164,2024-08-14 13:14:09
139,194,19.198066,72.967026,2024-08-14 13:14:29
139,194,19.197288,72.967515,2024-08-14 13:15:29
139,194,19.196966,72.967382,2024-08-14 13:15:39
139,194,19.19674,72.967315,2024-08-14 13:15:49
139,194,19.196224,72.967142,2024-08-14 13:16:09
139,194,19.195624,72.966942,2024-08-14 13:16:39
139,194,19.195624,72.966942,2024-08-14 13:16:59
139,194,19.194979,72.966817,2024-08-14 13:17:09
139,194,19.193904,72.966764,2024-08-14 13:17:29
139,194,19.193722,72.967035,2024-08-14 13:17:58
139,194,19.193475,72.96752,2024-08-14 13:18:17
139,194,19.192808,72.967382,2024-08-14 13:18:36
139,194,19.192028,72.967275,2024-08-14 13:18:56
139,194,19.191502,72.967453,2024-08-14 13:19:16
139,194,19.190917,72.967848,2024-08-14 13:19:56
139,194,19.189984,72.967764,2024-08-14 13:20:16
139,194,19.18764,72.967866,2024-08-14 13:21:26
139,194,19.187235,72.969008,2024-08-14 13:22:16
139,194,19.18716,72.969413,2024-08-14 13:22:26
139,194,19.18762,72.971604,2024-08-14 13:23:28
139,194,19.187846,72.973755,2024-08-14 13:24:38
139,194,19.187846,72.973755,2024-08-14 13:24:48
139,194,19.188917,72.975799,2024-08-14 13:26:28
139,194,19.188137,72.9756,2024-08-14 13:26:48
139,194,19.188137,72.9756,2024-08-14 13:27:19
139,194,19.188137,72.9756,2024-08-14 13:27:29
139,194,19.188137,72.9756,2024-08-14 13:27:48
139,194,19.187842,72.976311,2024-08-14 13:28:08
139,194,19.187842,72.976311,2024-08-14 13:28:58
139,194,19.187842,72.976311,2024-08-14 13:30:09
139,194,19.187842,72.976311,2024-08-14 13:30:28
139,194,19.187842,72.976311,2024-08-14 13:31:19
139,194,19.187842,72.976311,2024-08-14 13:31:50
139,194,19.187842,72.976311,2024-08-14 13:32:20
