rd_id,route,source,source_lat,source_long,destination,destination_lat,destination_long,distance,distance_direct,trip_id,ref_no,source_time,destination_time,duration,weather,day_type,shift_type,source_accuracy,destination_accuracy
0,6,Wagle Bus Depot,19.20161,72.9459396,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,400,328.41,105,-1,-1,-1,-1,,,,-1,-1
0,6,Wagle Bus Depot,19.20161,72.9459396,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,400,328.41,106,-1,-1,-1,-1,,,,-1,-1
0,6,Wagle Bus Depot,19.20161,72.9459396,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,400,328.41,107,-1,-1,-1,-1,,,,-1,-1
0,6,Wagle Bus Depot,19.20161,72.9459396,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,400,328.41,108,-1,-1,-1,-1,,,,-1,-1
0,6,Wagle Bus Depot,19.20161,72.9459396,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,400,328.41,109,-1,-1,-1,-1,,,,-1,-1
0,6,Wagle Bus Depot,19.20161,72.9459396,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,400,328.41,110,-1,-1,-1,-1,,,,-1,-1
0,6,Wagle Bus Depot,19.20161,72.9459396,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,400,328.41,132,215,15-08-24 7:32,15-08-24 8:12,2402,,,,70.24356542,30.54240359
0,6,Wagle Bus Depot,19.20161,72.9459396,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,400,328.41,112,-1,-1,-1,-1,,,,-1,-1
0,6,Wagle Bus Depot,19.20161,72.9459396,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,400,328.41,130,81,15-08-24 14:50,15-08-24 14:51,79,,,,57.89040609,17.06349564
0,6,Wagle Bus Depot,19.20161,72.9459396,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,400,328.41,127,453,15-08-24 16:31,15-08-24 16:32,72,,,,11.36461551,29.66680277
0,6,Wagle Bus Depot,19.20161,72.9459396,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,400,328.41,125,166,16-08-24 6:38,16-08-24 6:39,30,,,,41.86624741,74.14858155
0,6,Wagle Bus Depot,19.20161,72.9459396,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,400,328.41,116,-1,-1,-1,-1,,,,-1,-1
0,6,Wagle Bus Depot,19.20161,72.9459396,Annabhau Sathe Chowk (Thane)/Sathe Nagar,19.2008692,72.9489671,400,328.41,117,-1,-1,-1,-1,,,,-1,-1
